name,value
1,0
2,0
3,0.003
4,0
5,0
6,0
7,0.267
8,0.048
9,0.045
10,0.039
11,0.162
12,0.171
13,0.141
14,0.054
15,0.138
16,0
17,0.003
18,0
19,0.003
20,0.030
21,0.042
22,0.027
23,0.024
24,0
